agents,rounds,Nquestions,mean_accuracy,std
3,4,50,0.82,0.0543323108288245
3,3,50,0.8,0.0565685424949238
3,2,50,0.7,0.0648074069840786
3,1,50,0.34,0.0669925368977768
3,1,80,0.625,0.0541265877365274
2,3,80,0.775,0.0466871234924577
2,2,80,0.825,0.042481613669916
2,1,80,0.6375,0.0537463661562342
1,6,80,0.4875,0.055884227425992
1,5,80,0.4375,0.0554632479665589
1,4,80,0.4375,0.0554632479665589
1,3,80,0.4,0.0547722557505166
1,2,80,0.425,0.0552692274235853
1,1,80,0.575,0.0552692274235853
